COD_ESC;IDESP_AI;IDESP_AF;IDESP_EM;ANO_APLICACAO;DTCADASTRO
644;6.92;0.00;0.00;2019;2023-03-20 11:15:36.7230000
6440;5.15;3.08;2.31;2019;2023-03-20 11:15:36.7230000
6452;0.00;2.47;2.28;2019;2023-03-20 11:15:36.7230000
6464;0.00;2.65;1.62;2019;2023-03-20 11:15:36.7230000
6476;0.00;3.50;3.51;2019;2023-03-20 11:15:36.7230000
6488;7.09;0.00;0.00;2019;2023-03-20 11:15:36.7230000
6497;6.60;0.00;0.00;2019;2023-03-20 11:15:36.7230000
6506;0.00;1.72;1.77;2019;2023-03-20 11:15:36.7230000
6531;0.00;5.29;0.00;2019;2023-03-20 11:15:36.7230000
6543;0.00;3.95;2.16;2019;2023-03-20 11:15:36.7230000
65456;0.00;4.50;2.98;2019;2023-03-20 11:15:36.7230000
65468;0.00;3.02;2.04;2019;2023-03-20 11:15:36.7230000
65473;5.77;0.00;0.00;2019;2023-03-20 11:15:36.7230000
65535;0.00;3.71;3.05;2019;2023-03-20 11:15:36.7230000
6555;0.00;3.51;2.65;2019;2023-03-20 11:15:36.7230000
656;0.00;4.27;0.00;2019;2023-03-20 11:15:36.7230000
65626;0.00;2.64;1.71;2019;2023-03-20 11:15:36.7230000
6567;0.00;4.00;2.78;2019;2023-03-20 11:15:36.7230000
65785;4.57;0.00;0.00;2019;2023-03-20 11:15:36.7230000
6579;0.00;4.10;0.00;2019;2023-03-20 11:15:36.7230000
6592;0.00;2.50;2.34;2019;2023-03-20 11:15:36.7230000
65985;0.00;3.37;2.32;2019;2023-03-20 11:15:36.7230000
65997;0.00;5.04;3.25;2019;2023-03-20 11:15:36.7230000
66000;0.00;3.45;2.39;2019;2023-03-20 11:15:36.7230000
6610;5.37;3.12;2.84;2019;2023-03-20 11:15:36.7230000
6622;0.00;0.00;2.38;2019;2023-03-20 11:15:36.7230000
6646;6.06;3.62;3.43;2019;2023-03-20 11:15:36.7230000
6658;0.00;3.68;0.00;2019;2023-03-20 11:15:36.7230000
