BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF
4,3,1,2,8,1,6,0.0
6,4,1,1,16,0,8,3.08
2,3,2,1,12,1,7,2.47
4,5,2,1,22,0,12,2.65
3,2,1,1,5,1,7,3.5
6,2,1,0,9,0,7,0.0
4,6,0,1,13,1,5,0.0
5,4,2,1,23,1,10,1.72
5,3,0,1,9,1,7,5.29
7,5,1,1,15,1,6,3.95
5,3,0,1,8,1,9,4.5
6,3,0,1,10,0,10,3.02
5,4,2,1,9,0,11,0.0
4,4,3,1,16,0,12,3.71
5,4,1,2,16,1,10,3.51
5,5,2,1,10,1,11,4.27
7,4,1,1,17,1,8,2.64
5,4,2,2,11,1,8,4.0
6,4,1,1,15,1,6,0.0
5,4,1,1,12,1,7,4.1
5,3,2,2,23,1,7,2.5
6,2,0,1,12,2,7,3.37
6,3,1,1,9,1,11,5.04
6,3,2,1,9,1,12,3.45
7,5,2,2,17,1,8,3.12
4,4,1,1,15,0,10,0.0
11,6,2,1,28,1,15,3.62
7,2,0,2,15,1,7,3.68
6,5,3,1,22,1,9,3.3
4,3,0,1,10,1,6,3.71
3,4,1,2,19,1,12,3.83
13,5,3,2,29,0,12,2.63
5,3,1,1,8,0,6,4.64
8,3,1,1,14,1,9,4.1
9,3,1,2,20,1,6,0.0
7,6,1,1,23,1,9,4.66
6,5,2,3,29,1,12,3.62
7,4,2,2,17,1,16,4.04
6,4,0,1,13,1,4,4.03
9,1,1,1,23,1,18,2.62
6,3,1,1,11,2,7,2.76
4,2,1,1,9,1,5,3.35
7,5,0,1,6,1,6,0.0
6,4,1,1,16,1,10,3.46
6,2,1,2,10,0,5,3.16
11,4,1,1,14,1,9,3.74
4,3,1,1,11,1,5,3.09
7,5,2,2,21,1,8,3.03
4,4,1,1,9,1,5,4.22
5,3,1,1,8,1,5,3.57
10,3,2,1,21,1,9,3.39
12,5,4,3,33,1,10,0.0
4,3,3,1,21,1,9,2.77
8,3,1,1,17,1,12,0.0
5,3,1,1,16,0,10,0.0
8,2,2,2,19,2,8,3.66
17,5,3,1,23,1,8,4.23
6,3,1,2,15,1,8,2.71
6,2,1,2,16,1,8,0.0
5,3,2,1,9,1,11,3.19
5,3,2,1,9,1,13,3.49
8,5,2,1,19,1,10,3.88
5,3,0,1,10,1,5,3.82
5,2,2,1,18,0,11,2.3
5,3,2,1,7,1,5,4.24
6,3,1,1,10,1,5,3.68
4,1,1,1,11,1,9,0.0
5,3,0,1,14,1,5,2.9
4,4,1,2,9,0,8,3.28
6,5,1,1,19,0,11,3.3
6,4,1,1,8,1,7,3.11
8,4,2,1,11,1,9,4.69
6,3,1,1,12,1,10,0.0
4,2,1,2,17,1,8,3.2
8,4,2,1,13,0,17,3.59
7,4,1,1,18,1,9,4.41
4,3,1,2,18,1,8,0.0
8,7,1,2,17,1,13,4.62
7,3,1,1,10,1,9,3.56
5,4,1,1,17,1,10,3.44
7,3,2,2,14,1,6,4.07
8,3,2,1,15,1,12,3.49
8,4,2,1,20,1,9,3.53
6,4,2,2,14,2,9,2.88
6,6,2,1,14,1,10,3.73
5,4,2,1,17,1,8,0.0
6,5,5,2,12,1,8,0.0
5,6,1,1,13,0,12,0.0
7,3,2,1,19,1,7,3.42
7,3,0,1,12,1,6,4.01
8,4,2,2,19,1,7,3.52
7,4,5,2,16,1,9,5.08
6,4,3,2,11,1,11,0.0
9,5,3,1,12,1,9,4.46
17,6,4,1,27,1,15,4.74
6,3,1,1,8,1,6,0.0
4,4,2,1,14,1,16,5.53
4,5,2,1,16,1,6,3.4
6,4,2,1,15,1,15,5.38
6,3,1,1,7,1,9,2.66
5,4,2,1,8,1,11,0.0
4,4,2,2,10,1,8,3.35
8,5,2,2,19,1,12,4.07
5,5,3,2,20,1,13,0.0
