BANHEIROS,COZINHA,LABORATÓRIO,ESPORTE,SALAS DE AULA,LEITURA,OUTROS,IDESP_AF,CLASSIFICACAO_NOTA
4,3,1,2,8,1,6,0.0,E
6,4,1,1,16,0,8,3.08,D
2,3,2,1,12,1,7,2.47,D
4,5,2,1,22,0,12,2.65,D
3,2,1,1,5,1,7,3.5,C
6,2,1,0,9,0,7,0.0,E
4,6,0,1,13,1,5,0.0,E
5,4,2,1,23,1,10,1.72,D
5,3,0,1,9,1,7,5.29,B
7,5,1,1,15,1,6,3.95,C
5,3,0,1,8,1,9,4.5,C
6,3,0,1,10,0,10,3.02,D
5,4,2,1,9,0,11,0.0,E
4,4,3,1,16,0,12,3.71,C
5,4,1,2,16,1,10,3.51,C
5,5,2,1,10,1,11,4.27,C
7,4,1,1,17,1,8,2.64,D
5,4,2,2,11,1,8,4.0,C
6,4,1,1,15,1,6,0.0,E
5,4,1,1,12,1,7,4.1,C
5,3,2,2,23,1,7,2.5,D
6,2,0,1,12,2,7,3.37,C
6,3,1,1,9,1,11,5.04,B
6,3,2,1,9,1,12,3.45,C
7,5,2,2,17,1,8,3.12,D
4,4,1,1,15,0,10,0.0,E
11,6,2,1,28,1,15,3.62,C
7,2,0,2,15,1,7,3.68,C
6,5,3,1,22,1,9,3.3,C
4,3,0,1,10,1,6,3.71,C
3,4,1,2,19,1,12,3.83,C
13,5,3,2,29,0,12,2.63,D
5,3,1,1,8,0,6,4.64,C
8,3,1,1,14,1,9,4.1,C
9,3,1,2,20,1,6,0.0,E
7,6,1,1,23,1,9,4.66,C
6,5,2,3,29,1,12,3.62,C
7,4,2,2,17,1,16,4.04,C
6,4,0,1,13,1,4,4.03,C
9,1,1,1,23,1,18,2.62,D
6,3,1,1,11,2,7,2.76,D
4,2,1,1,9,1,5,3.35,C
7,5,0,1,6,1,6,0.0,E
6,4,1,1,16,1,10,3.46,C
6,2,1,2,10,0,5,3.16,D
11,4,1,1,14,1,9,3.74,C
4,3,1,1,11,1,5,3.09,D
7,5,2,2,21,1,8,3.03,D
4,4,1,1,9,1,5,4.22,C
5,3,1,1,8,1,5,3.57,C
10,3,2,1,21,1,9,3.39,C
12,5,4,3,33,1,10,0.0,E
4,3,3,1,21,1,9,2.77,D
8,3,1,1,17,1,12,0.0,E
5,3,1,1,16,0,10,0.0,E
8,2,2,2,19,2,8,3.66,C
17,5,3,1,23,1,8,4.23,C
6,3,1,2,15,1,8,2.71,D
6,2,1,2,16,1,8,0.0,E
5,3,2,1,9,1,11,3.19,D
5,3,2,1,9,1,13,3.49,C
8,5,2,1,19,1,10,3.88,C
5,3,0,1,10,1,5,3.82,C
5,2,2,1,18,0,11,2.3,D
5,3,2,1,7,1,5,4.24,C
6,3,1,1,10,1,5,3.68,C
4,1,1,1,11,1,9,0.0,E
5,3,0,1,14,1,5,2.9,D
4,4,1,2,9,0,8,3.28,C
6,5,1,1,19,0,11,3.3,C
6,4,1,1,8,1,7,3.11,D
